Player,Tm,League,Pos,Salary,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,Wsper
Elena Delle Donne,WAS,0,F-G,117000,74.76470589,74.76470589,34.92,8.52,16.56,0.515,2.04,4.68,0.43,6.48,11.88,0.549,0.576,4.44,4.56,0.974,1.8,8.04,9.84,2.64,0.72,1.56,1.2,1.2,23.4,31.8,0.633,0.283,0.274,6.6,17.2,13.2,1.1,3.6,5.9,25.7,7.254,1.755,0.343
Brittney Griner,PHO,0,C,115000,74.76470589,74.76470589,39.36,10.44,18.6,0.564,0,0.12,0.333,10.44,18.48,0.565,0.565,3.96,4.8,0.808,1.92,6.72,8.64,2.88,0.84,2.4,3,3.24,24.84,26.4,0.601,0.006,0.261,6,12.6,17.9,1.1,4.8,12.5,28.4,4.212,1.755,0.198
Jonquel Jones,CON,0,F,59718,82,82,34.56,6.12,13.68,0.448,1.56,4.92,0.309,4.56,8.76,0.526,0.504,3.84,4.68,0.818,3.96,7.68,11.64,1.8,1.56,2.4,2.28,3.36,17.52,24.3,0.56,0.36,0.342,12.5,19.3,9.2,2.2,6.1,12.9,22.6,3.861,2.808,0.23
Emma Meesseman,WAS,0,F,117500,55.47058824,14.47058824,28.32,6.36,11.52,0.552,0.96,2.4,0.422,5.4,9.24,0.585,0.595,2.04,2.16,0.905,1.44,3.6,5.04,3.84,1.08,0.84,1.2,2.16,15.72,27.3,0.628,0.204,0.19,6.2,10.9,22.7,1.9,2.3,8.4,22,3.861,0.819,0.292
Allie Quigley,CHI,0,G,117500,82,82,34.32,6,12.24,0.493,2.88,6.36,0.442,3.24,5.88,0.548,0.608,1.68,1.92,0.87,0.48,3.12,3.6,3,0.96,0.24,1.68,2.16,16.56,17.8,0.632,0.522,0.156,1.6,5.8,14.5,1.4,0.5,11,18.7,3.744,0.585,0.154
Nneka Ogwumike,LAS,0,F,115000,77.17647059,77.17647059,33.48,7.8,15.24,0.51,0.84,2.52,0.338,6.96,12.72,0.544,0.538,2.88,3.48,0.828,2.76,7.8,10.56,2.16,2.28,0.6,2.16,3.48,19.32,25.7,0.575,0.167,0.229,9.3,18,12.4,3.4,1.4,11.5,25.2,3.627,2.808,0.248
Sylvia Fowles,MIN,0,C,113360,82,82,35.4,6.96,11.88,0.588,0,0,,6.96,11.88,0.588,0.588,2.52,3.48,0.707,3.24,7.44,10.68,1.8,1.08,1.68,2.4,3.12,16.32,22.2,0.613,0,0.296,11.4,18.5,9.1,1.6,4.1,15.2,20,3.627,2.574,0.211
Allisha Gray,DAL,0,G,57886,82,69.94117647,36.48,4.08,9,0.457,1.2,3,0.384,3,6,0.494,0.521,3.36,3.96,0.848,1.56,3.36,4.92,2.76,1.44,0.48,1.68,3.12,12.72,16.5,0.593,0.336,0.438,4.9,8.1,14.1,2.2,1.2,13.8,15.8,3.627,0.585,0.14
Courtney Vandersloot,CHI,0,G,117500,79.5882353,79.5882353,36,4.92,10.92,0.452,1.08,3.84,0.29,3.84,6.96,0.542,0.503,2.52,2.88,0.85,0.72,4.44,5.16,10.92,1.68,0.6,3.48,1.8,13.44,20.5,0.552,0.358,0.268,2.4,8.1,47,2.2,1.1,22.3,18.9,3.51,1.287,0.166
Leilani Mitchell,PHO,0,G,96757,77.17647059,65.11764706,36.36,5.04,11.4,0.441,2.76,6.48,0.43,2.28,4.92,0.455,0.563,2.52,3.12,0.829,0.6,3,3.6,4.8,1.08,0.36,2.16,2.88,15.36,17.6,0.603,0.566,0.27,2,5.7,24.4,1.6,0.8,14.6,19.5,3.276,0.702,0.142
